,user,time,tweet_text,lat,long,location,hashtags
56,RikiMme,Fri Nov 13 00:01:25 +0000 2020,"RT @zchagla: Just to put into context Peel's numbers - at 450 cases per day, and missing 5 cases for every case (based on blood bank data),…",,,"Dish-With-One-Spoon, Canada",[]
57,MikeMirabelli,Thu Nov 12 23:59:31 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,"Cambridge, Ontario",[]
58,JamSafiya,Thu Nov 12 23:58:03 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
59,JenBregman,Thu Nov 12 23:54:10 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,,[]
60,DehaanStephanie,Thu Nov 12 23:51:12 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,Toronto,[]
61,D33P34,Thu Nov 12 23:50:03 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,"Mississauga, Ontario",[]
62,antr206,Thu Nov 12 23:48:05 +0000 2020,RT @h_juschitz: @cnnbrk What about @IvankaTrump and @jaredkushner investments whose funds support Chinese funding of military? Ivanka’s cof…,,,"Houston, tx.",[]
63,Puzzled2,Thu Nov 12 23:47:06 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,Canada,[]
64,mischiefmanagin,Thu Nov 12 23:45:51 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,,[]
65,MarkSwitzer66,Thu Nov 12 23:45:17 +0000 2020,@mcuban Or maybe do both?  Or try to organize a donation matching service? Maybe $5 of every $10 will go to a local food bank in an under served community?,,,"Toronto, Ontario",[]
66,DylanTheDoc1,Thu Nov 12 23:42:42 +0000 2020,@Frederi92155738 Making the bank buddy wanna get a new car soon.,,,"Cambridge, Ontario",[]
67,randonblack,Thu Nov 12 23:41:11 +0000 2020,@thehill Let’s see.   A bank that holds billions of Russian oligarch money while forgiving a multi-million dollar loan for a sitting president of the US and is understood to be the most corrupt bank on earth.  This makes perfect sense.,,,"Toronto, Ontario",[]
68,bhupeshkumar,Thu Nov 12 23:38:33 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
69,WattersLinda,Thu Nov 12 23:37:26 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
70,itsmejawshb,Thu Nov 12 23:36:00 +0000 2020,These celebs about to make bank off OF,,,"Toronto, Ontario",[]
71,NadineWathen,Thu Nov 12 23:35:33 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,"London, Ontario",[]
72,kfinkerr,Thu Nov 12 23:35:14 +0000 2020,RT @Andrea_Coletta1: Starbucks and TD Bank Group (TD) Announce Partnership to Bring More Rewards to Canadians https://t.co/i1i5Qf2Cpy via @…,,,,[]
73,GrisdaleSandra,Thu Nov 12 23:33:54 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
74,MsCharlotteX,Thu Nov 12 23:33:45 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,,[]
75,VolunteerTO,Thu Nov 12 23:33:04 +0000 2020,"RT @VolunteerMBC: Leslie, leader of volunteers at KT, gives a shoutout to the @CityBrampton Backyard Garden program for all the food Brampt…",,,"Toronto, Ontario",[]
76,VolunteerMBC,Thu Nov 12 23:32:48 +0000 2020,"Leslie, leader of volunteers at KT, gives a shoutout to the @CityBrampton Backyard Garden program for all the food Bramptonians donated to the @Knights_Table food bank. @VolunteerTO @CTWMarkham 

Join our live convo: https://t.co/AUG9Bji8GM",,,"Peel Region, Ontario",[]
77,cehi2021,Thu Nov 12 23:32:06 +0000 2020,"RT @BNNBloomberg: Canada will exit pandemic with lower potential, Bank of Canada's Carolyn Wilkins says  https://t.co/3t5Kha9rFx https://t.…",,,,[]
78,JoyAndDefiance,Thu Nov 12 23:32:05 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,treaty 13 territory (toronto),[]
79,MaggiesToronto,Thu Nov 12 23:30:20 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,"Toronto, Ontario",[]
80,bluenahin,Thu Nov 12 23:29:53 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,"toronto, ontario",[]
81,AidanGreenslade,Thu Nov 12 23:28:57 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
82,PaulDeCampo,Thu Nov 12 23:26:39 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,"Toronto, Ontario",[]
83,VolunteerMBC,Thu Nov 12 23:25:22 +0000 2020,"Join the live conversation on food bank volunteering happening NOW! https://t.co/AUG9Bji8GM 

@VolunteerTO @CTWMarkham",,,"Peel Region, Ontario",[]
84,caddyctsv,Thu Nov 12 23:23:06 +0000 2020,"To help economy, bank proposes tax on working from home https://t.co/21Qy3Eq5gV",,,"Toronto, ontario",[]
85,lyon_smith,Thu Nov 12 23:22:14 +0000 2020,"@JennaEllisEsq This is beyond stupid. 
It’s like me accusing you of hacking my bank account, with no evidence, and saying you have to prove you didn’t. I’m a struggling artist and only took law in high school but even I can see this as ridiculous.",,,Toronto,[]
86,ChrisAllenHess,Thu Nov 12 23:19:21 +0000 2020,@Mike_Feichtner Fuck your bank account. I hope you have to live with all of those.,,,"Toronto, Ontario",[]
87,jessjtc,Thu Nov 12 23:18:18 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,Toronto,[]
88,tlharper71,Thu Nov 12 23:16:15 +0000 2020,RT @h_juschitz: @cnnbrk What about @IvankaTrump and @jaredkushner investments whose funds support Chinese funding of military? Ivanka’s cof…,,,,[]
89,jeennaayyyy,Thu Nov 12 23:14:37 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,"Toronto, Ontario",[]
90,kingsolimen,Thu Nov 12 23:14:27 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,Canada,[]
91,AshleyRaniyah,Thu Nov 12 23:12:31 +0000 2020,I lost all my cards for my bank,,,buffalo ny,[]
92,olgabenites8,Thu Nov 12 23:11:18 +0000 2020,RT @__MeaganLaBrie: When your prof shows you his foster kittens during zoom class. BRB checking my bank account! 😂 #mdia1000 https://t.co/8…,,,,"[{'text': 'mdia1000', 'indices': [115, 124]}]"
93,michaelsecom,Thu Nov 12 23:10:12 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
94,usaqidrop,Thu Nov 12 23:09:13 +0000 2020,RT @queenoferi: No one humbles me like my bank account. It’s in these moments where I remember who I am,,,"MA twts, keep urself safe. s/h",[]
95,JohneenManning,Thu Nov 12 23:09:08 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,"Ottawa, ON",[]
96,nothappy2015,Thu Nov 12 23:05:58 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
97,aruna523755,Thu Nov 12 23:05:44 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
98,Pippi505,Thu Nov 12 23:05:14 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,on a boat,[]
99,NorthYorkCPA,Thu Nov 12 23:01:28 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,"North York, Ontario",[]
100,BelangerSusan,Thu Nov 12 23:00:59 +0000 2020,RT @h_juschitz: @cnnbrk What about @IvankaTrump and @jaredkushner investments whose funds support Chinese funding of military? Ivanka’s cof…,,,"Lakeshore, Ontario",[]
101,h0rd0r3,Thu Nov 12 22:52:28 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
102,AynkaranN,Thu Nov 12 22:51:17 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
103,Queso_Ok,Thu Nov 12 22:50:40 +0000 2020,"Them: Well you'll simply have to close your account and make a new one, as you cannot link two paypal accounts to the 1 bank account.  

Me: I would like to close my account 

Them: You cannot close your account because you owe 11 dollars to spotify

3/?",,,Toronto,[]
